兴,1581
认,1573
决,1565
货,1561
亲,1553
终,1551
效,1551
书,1549
馅,1546
角,1546
预,1536
右,1536
双,1534
端,1533
极,1525
求,1520
冬,1518
娘,1516
爆,1505
萨,1503
孩,1498
跑,1493
斤,1490
厨,1490
讲,1486
麦,1463
福,1457
念,1454
贴,1446
煲,1441
银,1438
港,1437
希,1434
顿,1434
千,1430
乱,1424
雪,1424
档,1409
隔,1406
订,1401
棒,1399
忙,1398
弄,1394
目,1392
达,1392
旧,1389
圈,1381
古,1377
件,1371
万,1369
功,1365
六,1364
烫,1360
民,1360
惊,1357
信,1351
写,1346
歌,1345
留,1339
昨,1338
葱,1334
滴,1334
宴,1318
共,1312
吸,1310
涨,1304
贝,1298
饿,1298
摆,1297
程,1297
闹,1296
腿,1295
规,1291
毕,1285
爸,1280
梅,1280
落,1275
云,1274
烟,1271
富,1270
番,1268
校,1265
丰,1264
挤,1263
代,1261
圆,1250
礼,1250
参,1249
韩,1244
介,1243
挑,1242
薯,1237
卫,1234
蛙,1233
休,1230
备,1229
额,1229
神,1228
洋,1224
观,1223
湖,1221
怕,1215
产,1214
唯,1207
敢,1206
声,1205
窗,1204
续,1202
夏,1191
室,1191
脸,1191
春,1190
玉,1186
众,1184
响,1182
夜,1181
材,1177
搭,1170
糯,1169
卜,1164
旺,1164
视,1163
嘴,1161
德,1159
激,1152
语,1152
血,1150
考,1150
供,1149
刺,1149
鹅,1143
河,1142
形,1142
笑,1134
阳,1133
绍,1133
　,1131
烂,1124
首,1123
图,1118
馄,1117
领,1115
汉,1112
王,1111
漂,1108
饨,1107
怀,1107
夹,1104
蒜,1102
芒,1102
属,1099
笼,1095
婆,1093
盒,1093
铺,1092
吵,1087
盐,1078
瓶,1076
哥,1069
苏,1069
剩,1068
标,1067
息,1066
指,1065
苦,1062
林,1060
灯,1059
露,1051
称,1051
叶,1049
七,1044
筋,1038
唱,1036
穿,1031
卤,1030
醋,1029
惯,1027
桥,1025
医,1024
糊,1024
假,1022
胡,1020
妹,1016
野,1015
注,1008
刷,1005
纸,1003
浆,1002
引,1001
均,991
取,988
账,984
炖,983
蜜,982
统,979
脚,972
胜,971
盖,969
齐,965
淋,962
造,955
粒,953
紧,951
涮,950
况,948
耳,948
轻,947
累,944
典,943
芋,942
披,941
步,939
略,939
宽,938
药,936
笋,933
运,932
凑,931
习,928
闷,925
盆,922
斯,922
莲,922
健,920
凌,919
限,909
幸,908
浪,905
菠,901
刻,900
抹,899
咯,893
独,889
氛,888
啤,886
牙,885
暖,883
持,881
句,872
肝,870
散,868
碟,866
夫,866
泰,866
享,865
摩,865
针,864
销,864
诉,863
户,863
咬,862
泥,862
证,862
纯,859
丽,859
码,857
嚼,854
冻,852
养,849
积,848
烦,848
兰,845
初,845
耐,838
颜,835
言,833
遍,833
扣,832
验,829
湾,827
导,826
乳,823
呼,820
教,816
罗,814
立,812
付,811
否,806
屋,804
世,801
蓝,800
闲,798
闻,797
梯,797
紫,796
莓,795
混,795
焦,792
康,791
坏,790
蘑,789
缺,787
叉,784
鞋,783
捞,781
桃,779
趣,775
甘,771
庆,771
墙,770
雅,770
忍,769
椅,766
股,766
碰,766
架,766
剪,761
腥,761
催,760
芥,754
壁,754
补,749
维,745
蘸,744
培,743
突,740
谈,739
破,737
傅,736
充,735
翻,734
尚,732
顶,732
演,730
汗,730
飞,728
噶,726
瘦,724
吞,723
恶,722
珍,721
暗,720
姨,720
识,718
挞,714
堡,712
菌,712
缘,711
娃,710
楚,708
袋,707
柜,705
退,705
器,703
撒,702
椰,702
盛,700
透,698
展,698
糟,698
岛,695
脏,694
脑,693
担,690
撑,689
报,688
慕,686
彩,682
浇,681
乌,679
锁,678
愿,676
宫,675
施,674
永,673
舌,670
欲,668
珠,667
碎,663
异,663
柠,662
矩,660
季,656
九,656
鱿,655
鳗,653
竹,652
池,649
课,649
瘾,648
密,647
烈,646
堆,645
减,644
零,643
断,643
皇,643
汇,642
谓,642
酪,640
状,639
示,639
庭,638
复,637
焗,635
艳,635
臭,635
炉,633
杏,633
害,632
饰,630
妆,629
模,629
敞,628
扇,628
灵,627
懂,626
醒,626
村,625
未,625
派,625
爪,624
键,622
虑,620
刀,619
檬,618
答,616
旅,615
挂,615
农,613
稀,612
扒,611
淇,611
迎,610
俩,608
桂,606
腩,606
鲍,604
亚,601
姑,601
跳,601
谢,599
忆,599
须,598
查,598
例,597
枪,595
尾,594
晕,591
树,591
镜,589
馋,588
虎,586
嘅,585
列,583
還,581
艺,580
弹,580
局,579
良,578
败,578
摊,577
厢,576
凤,574
际,571
势,571
粗,567
联,567
宾,567
藕,566
泳,564
技,563
迷,561
术,561
究,559
添,559
背,559
浴,557
劳,556
蹄,554
懒,554
吉,553
摄,552
令,552
护,550
蚝,550
诱,550
治,550
榴,549
短,549
豪,547
∩,547
仙,546
拥,545
赠,544
雨,543
仅,542
洁,542
坊,541
曲,541
陪,540
抵,538
奥,537
溜,535
剧,534
點,534
滋,533
戏,532
集,531
博,530
腊,530
秋,528
栗,528
津,528
田,526
创,526
柳,525
继,523
抢,522
历,521
余,521
负,519
抽,518
童,518
悠,516
蚊,515
界,513
馍,512
湘,512
群,512
胖,511
售,510
甚,510
疑,509
遇,509
济,504
舞,503
這,503
省,502
巨,502
组,501
颗,500
仲,500
遗,500
阵,499
浦,499
甲,498
扬,498
命,495
侣,494
武,494
個,493
巾,490
姜,490
志,486
泉,485
芙,483
粤,483
波,483
乡,482
急,481
罐,481
陈,480
璃,480
抱,479
资,479
沾,478
狗,476
压,472
螺,466
潮,466
壶,466
廉,466
佳,465
玻,465
吹,465
扎,462
严,461
私,461
筷,459
荷,457
存,453
尼,453
纪,452
墨,450
忽,450
讨,449
杨,448
熏,448
峰,448
占,448
灰,447
砂,446
恭,445
弟,445
增,444
版,443
來,438
练,438
馨,435
绵,433
晶,433
病,432
伙,432
核,431
厦,430
镇,430
促,429
憾,428
止,428
项,424
蓉,423
轮,423
爷,422
圣,421
搬,420
猫,418
画,417
支,416
善,415
族,414
痛,413
磨,413
焖,412
欧,412
鳕,411
嘈,411
含,411
批,410
畅,410
睡,409
撕,408
塔,406
符,406
荤,405
杭,403
淘,402
责,400
章,399
膏,399
升,398
裹,397
填,396
庄,396
羹,396
抓,396
惬,395
润,395
暴,394
坑,391
梦,391
怜,390
括,388
喊,388
過,387
窝,386
府,385
厕,383
纱,383
粘,382
坚,382
腰,381
稠,380
鲶,379
寸,379
妇,378
厌,378
宵,378
狂,377
吐,377
训,376
．,372
尖,372
悦,372
韭,371
兜,370
蛤,370
箱,369
承,368
叔,368
床,368
爬,368
勺,367
豉,367
玛,366
壳,365
伴,365
隐,364
舍,362
呷,362
爹,361
涂,359
沒,359
蕉,357
母,357
率,357
桶,356
绕,356
骗,356
伤,354
湿,353
扫,353
漫,352
询,352
巷,351
悔,350
葡,350
降,350
￥,350
剁,350
埋,349
锦,348
陆,348
芽,347
哺,347
晓,347
束,347
杀,346
源,346
争,346
辛,344
投,344
席,343
黎,343
菲,342
橙,341
晒,341
呆,341
掌,341
鸟,341
兑,341
嗲,340
科,340
藏,339
澡,338
擦,338
佛,338
厉,338
英,337
腌,337
鸽,336
兔,336
拜,336
读,336
旗,335
苹,335
误,333
傻,331
控,331
鸳,331
榨,331
范,331
鸯,330
脖,330
义,330
迟,330
鳝,329
塘,329
恩,329
幽,328
托,328
塑,328
秘,325
朵,325
帅,325
筒,322
拖,322
奔,322
恰,322
庙,321
垫,320
谱,320
签,319
船,319
鼓,319
欠,318
拔,318
帐,318
梨,318
疼,317
赏,316
递,316
副,316
夸,315
疆,313
井,312
融,309
毫,309
伊,309
酿,309
举,307
索,307
战,306
惑,306
纳,305
筑,304
柔,303
寺,303
犹,301
赛,301
歇,301
潢,300
馒,299
芦,298
咁,297
勤,297
检,296
莫,296
笔,296
避,295
著,295
宣,295
虹,294
偷,294
史,294
枣,294
囧,293
奈,292
衬,292
染,291
阴,290
域,289
租,289
胆,288
塞,288
岁,287
說,285
仿,284
嘉,284
欣,283
枝,283
燕,283
释,282
吊,282
熬,282
锡,282
伐,282
悉,281
肴,281
倍,281
采,281
蜂,281
烩,280
奢,279
醇,279
繁,278
返,278
诚,277
飘,277
昏,276
玫,276
丹,276
哄,275
朗,275
恐,274
奖,273
驴,272
诺,272
鼎,272
鲈,272
狮,270
芹,269
滚,269
咩,268
斗,267
罢,267
坡,266
谷,266
瑰,266
纠,265
弃,264
库,264
虚,263
亭,263
虫,263
络,263
摸,262
喷,261
淮,261
晃,261
亏,259
拾,259
欺,259
颈,258
•,258
碧,257
吼,256
妙,254
睇,253
渣,253
社,252
圾,252
搜,252
迪,252
垃,252
啃,252
〉,252
會,252
戚,251
挨,251
映,251
育,251
蝎,250
隆,250
悲,249
扔,249
錯,248
洲,247
睛,247
昌,246
沟,246
操,245
吾,245
粮,244
诞,243
滨,243
威,243
徐,243
萄,243
朴,242
铜,242
寻,242
脊,241
寒,241
寨,240
狠,240
愉,240
螃,240
凯,240
追,239
柚,239
币,239
织,239
侧,238
洞,238
赚,238
汽,238
登,237
址,236
帝,236
鼻,235
澳,235
森,235
覺,235
翠,234
滩,234
荡,234
秀,233
劣,233
尊,233
缩,232
趟,231
李,231
综,231
孜,231
闭,230
渴,230
屏,230
漏,229
丢,228
咗,228
蒙,228
律,227
俱,227
們,226
剔,226
疗,224
殊,224
雷,224
勉,224
疯,222
灭,221
苗,221
抄,220
炭,219
時,218
阁,217
係,217
拆,217
丫,217
－,217
钻,216
邻,216
嫌,216
哒,215
宿,215
〈,214
父,214
封,214
勾,214
稳,213
韧,212
斩,212
塌,211
柿,211
序,211
佐,211
黏,210
圳,210
娱,209
肺,209
碑,209
脱,209
窄,208
凳,208
歉,207
魔,207
览,207
噢,206
氏,206
幕,205
霸,205
裤,204
鼠,204
浮,204
肤,203
醉,203
咪,203
插,203
莉,203
液,202
後,201
浅,201
捏,201
廊,201
炼,200
途,200
豫,199
赤,198
颇,197
屈,197
渐,197
鲁,196
苍,196
灌,196
羽,196
航,196
伍,195
喔,195
钢,195
沸,195
恋,195
胶,194
弯,194
鬼,194
权,194
默,194
瘩,194
钵,193
疙,193
碳,193
脂,193
穷,193
陷,193
震,192
瓦,192
戒,192
務,192
蝇,192
龟,192
贸,192
赖,191
柴,190
辈,189
胸,189
菊,189
研,188
旋,188
斑,186
匹,186
晨,186
裙,185
愧,184
扁,183
戴,183
企,183
旦,182
咕,181
妻,181
沈,181
樱,180
匆,180
轩,180
拐,180
瑞,180
闺,179
咔,179
固,179
患,178
扑,178
柱,178
财,178
智,177
昔,176
肘,176
勒,175
册,174
唐,174
握,173
俗,173
贡,173
呐,173
禁,173
诶,173
厂,172
陋,172
呛,172
蜊,172
阶,171
挡,171
触,171
岩,171
泽,170
咽,170
延,169
祝,169
⊙,169
削,168
植,168
價,167
军,166
膜,166
浙,166
籽,166
频,166
暑,165
祥,165
捧,165
职,165
膻,165
棍,164
粽,164
沫,164
侈,164
叹,164
吴,164
苑,163
刘,163
载,163
雕,162
壮,162
蝶,162
伦,162
毒,162
挖,162
匀,161
堵,161
﹏,161
宋,161
刮,160
桑,160
熊,160
闪,159
酷,159
為,159
仪,159
扯,158
姓,158
沉,157
淀,157
眉,157
详,156
逼,156
录,156
烙,156
浸,156
灼,156
裡,156
胗,156
探,156
逊,155
麼,155
乏,155
洒,155
摇,155
齿,154
彻,154
困,154
茂,154
踏,154
煸,154
坛,153
愤,153
官,153
残,152
岸,152
莱,152
伯,152
敬,152
竞,152
怨,152
察,152
险,152
琴,151
帘,151
敌,151
龄,151
孔,150
崇,150
腔,150
案,150
政,150
梭,150
撤,150
榄,150
嘢,149
横,149
蛏,148
尿,148
乖,148
佢,148
趴,148
罪,148
捷,147
喉,147
互,146
斜,146
＝,146
╰,146
撞,146
鹿,145
屁,145
挥,145
剥,145
觅,145
粹,144
恨,144
冇,144
洛,143
蜡,143
篮,143
魚,142
防,142
╯,142
词,142
烹,141
迹,141
益,141
兄,141
荠,140
击,140
耗,140
协,140
缸,139
惨,139
斋,139
瓷,139
饥,138
蜗,138
飯,138
朱,138
佩,138
臣,138
泪,138
怖,137
链,137
猛,137
陕,137
闸,137
僻,136
苓,136
靓,136
禾,135
蜇,135
喺,135
蛇,135
扭,135
暂,134
钓,134
获,134
堪,134
缓,133
绒,133
盅,132
骂,132
開,132
劝,132
肩,131
橘,131
蒿,131
吖,131
奉,131
渔,131
雀,131
逗,131
奋,130
播,130
迫,130
膀,130
尺,130
糙,130
唇,130
桔,130
袖,129
渡,129
の,129
驻,129
蔽,129
霜,129
買,128
瞎,128
較,128
泼,128
抑,127
▽,127
衫,127
喧,127
棉,127
锻,127
茸,126
榻,126
抬,126
艾,126
幾,126
傣,125
帽,125
躺,125
忌,124
狭,124
╮,124
湯,124
實,124
瑜,124
迅,124
蹭,124
颠,124
敏,124
雾,123
雞,123
肋,123
豌,123
宅,122
莎,122
烘,121
秦,121
鹌,121
拽,121
棋,121
慰,120
猜,120
歡,120
苔,120
麽,120
稻,120
辅,119
寡,119
踪,119
阔,119
燥,119
鹑,118
幅,118
鉴,118
沃,117
員,117
東,117
诊,117
掏,117
剂,117
姆,117
辆,117
拒,116
搅,116
籍,116
脯,116
输,115
嗓,115
郊,115
逢,115
芳,115
贯,115
贪,115
霉,115
仓,114
耶,114
喇,114
敲,114
裏,114
棚,114
莴,113
妞,113
猴,113
页,113
烛,113
涩,113
奏,113
县,112
盟,112
咨,112
党,112
述,112
努,112
哭,112
陵,111
寄,111
炎,111
舰,111
移,111
昆,111
∷,111
凶,110
骑,110
俄,110
荔,110
兼,110
